Model configuration;pass@1;;;
Deterministic (default);0,305;;"Note: The parameters mention in model configuration are the ones that were changed
and differ from the default configuration, if not named, parameter has the default value 
max new tokens = 1024 and repetition penalty = 1,05";
Temp 0,3, top p 0,9;0,293;;;
Temp 0,5, top p 0,9;0,262;;;
Beams 3;0,274;;;
Temp 0,1, top p 0,9;0,299;;;
Temp 0,2, top p 0,9;0,317;;;
Beams 5;0,28;;;
Beams 4;0,287;;;
Temp 0,2, top p 0,85;0,287;;;
Temp 0,2, top p 0,95;0,299;;;
Temp 0,2, top p 0,9, random penalty 1.02;0,28;;;
Temp 0,2, top p 0,9, random penalty 1.03;0,299;;;
Temp 0,2, top p 0,9, random penalty 1.07;0,299;;;
